time,tasmax_day_HadGEM2-ES_rcp45,tasmin_day_HadGEM2-ES_rcp45,relhumid-max_day_HadGEM2-ES_rcp45,relhumid-min_day_HadGEM2-ES_rcp45
2006-03-08 00:00:00+00:00,298.2576904,278.5728455,53.83302307,14.80454636
2006-03-09 00:00:00+00:00,297.8909912,279.0751038,59.26892853,17.26881409
2006-03-10 00:00:00+00:00,297.5885925,279.4178162,55.26185608,18.80639648
2006-03-11 00:00:00+00:00,297.7848511,281.3164063,54.02788162,21.36691093
2006-03-12 00:00:00+00:00,298.5345154,281.2324524,58.51430511,19.42788124
2006-03-13 00:00:00+00:00,296.4607544,279.4517212,66.96882629,24.05694389
2006-03-14 00:00:00+00:00,293.7744751,278.109436,68.10452271,26.36308861
2006-03-15 00:00:00+00:00,293.8538818,277.4433594,73.15087128,26.39847565
2006-03-16 00:00:00+00:00,295.2323914,280.1163635,60.03598404,23.50759125
2006-03-17 00:00:00+00:00,295.4858093,281.5140381,64.56044769,27.53613663
2006-03-18 00:00:00+00:00,296.198822,280.1698608,72.99594116,27.2971344
2006-03-19 00:00:00+00:00,297.5422668,280.0852966,80.40914154,25.79553604
2006-03-20 00:00:00+00:00,297.8435974,283.4202881,65.85330963,26.6497879
2006-03-21 00:00:00+00:00,296.8153992,285.3320313,51.28253555,25.78451538
2006-03-22 00:00:00+00:00,293.1872864,278.2944031,57.04357529,22.81188774
2006-03-23 00:00:00+00:00,286.9629822,274.7052612,58.72391129,26.25284386
2006-03-24 00:00:00+00:00,289.631134,274.178772,67.12100983,23.71687126
2006-03-25 00:00:00+00:00,293.002655,275.6540222,63.94940567,20.79284668
2006-03-26 00:00:00+00:00,294.5740662,278.3536987,54.20823669,19.42835617
2006-03-27 00:00:00+00:00,296.7798157,277.7728882,57.63474655,18.28880692
2006-03-28 00:00:00+00:00,296.2556763,281.9988708,53.24856567,21.7916317
2006-03-29 00:00:00+00:00,291.6317749,278.8786926,71.33107758,31.09234047
2006-03-30 00:00:00+00:00,287.2919006,277.0843811,84.16080475,40.73823547
2006-03-31 00:00:00+00:00,285.1684875,276.7985535,91.38407898,50.00395203
2006-04-01 00:00:00+00:00,284.9879761,277.8305054,75.5221405,45.0688591
2006-04-02 00:00:00+00:00,286.3760376,276.7481384,83.89187622,40.59285355
2006-04-03 00:00:00+00:00,289.4647522,276.7888184,77.06446075,31.53810692
2006-04-04 00:00:00+00:00,293.6453247,277.6690674,75.7064209,25.44310188
2006-04-05 00:00:00+00:00,292.3518982,281.0552368,56.81608582,27.59214211
2006-04-06 00:00:00+00:00,290.8600769,279.2461243,64.11921692,31.19562531
2006-04-07 00:00:00+00:00,288.9909363,279.4169922,77.53952026,39.55070877
2006-04-08 00:00:00+00:00,290.5432739,278.0802612,77.61560059,32.40154266
2006-04-09 00:00:00+00:00,293.8176575,278.4414978,73.53442383,26.689291
2006-04-10 00:00:00+00:00,295.5638428,277.2736511,77.88965607,24.92871094
2006-04-11 00:00:00+00:00,293.9982605,277.0419312,77.59685516,25.58296967
2006-04-12 00:00:00+00:00,294.9970703,278.8201904,72.76287842,26.03379059
2006-04-13 00:00:00+00:00,298.1742859,280.7425232,68.67461395,22.44238281
2006-04-14 00:00:00+00:00,298.0276184,282.1606445,61.78380966,23.42290497
2006-04-15 00:00:00+00:00,297.2527161,280.1037598,68.81105804,24.08898354
2006-04-16 00:00:00+00:00,299.6775208,281.5099487,66.02178955,22.00536919
2006-04-17 00:00:00+00:00,298.9703674,283.2703247,67.36032867,25.35416412
2006-04-18 00:00:00+00:00,300.7911377,283.5571289,68.10675812,23.84963417
2006-04-19 00:00:00+00:00,299.609314,282.65271,70.17660522,25.74848938
2006-04-20 00:00:00+00:00,295.2536011,281.0234985,72.17332458,30.23416519
2006-04-21 00:00:00+00:00,289.0804443,279.3216858,85.23635101,41.63633347
2006-04-22 00:00:00+00:00,287.4526062,279.7704163,89.60024261,47.78290558
2006-04-23 00:00:00+00:00,289.437439,280.4931946,89.44242096,45.2711525
2006-04-24 00:00:00+00:00,290.8611145,279.728363,83.30337524,38.25463867
2006-04-25 00:00:00+00:00,294.911438,279.8310242,74.98829651,28.247118
2006-04-26 00:00:00+00:00,299.2141724,282.3744812,67.11727142,22.98843765
2006-04-27 00:00:00+00:00,305.3569641,286.743988,42.74946976,14.7295332
2006-04-28 00:00:00+00:00,307.1060791,289.8014832,30.33525658,11.79613686
2006-04-29 00:00:00+00:00,307.2072144,289.2149963,33.88398361,12.53837776
2006-04-30 00:00:00+00:00,306.6345215,291.0039673,29.92413521,12.84035969
2006-05-01 00:00:00+00:00,307.1487732,288.0872192,38.86268234,13.19750118
2006-05-02 00:00:00+00:00,304.5290833,284.7429199,56.76131058,19.05048752
2006-05-03 00:00:00+00:00,301.8386536,283.7240295,65.07701874,22.30038834
2006-05-04 00:00:00+00:00,300.287323,285.1947632,58.5851593,23.86800385
2006-05-05 00:00:00+00:00,297.9904785,283.3540649,49.19855881,20.336586
2006-05-06 00:00:00+00:00,295.6187134,280.734375,64.15576935,24.43906212
2006-05-07 00:00:00+00:00,292.6712341,280.4108582,71.1781311,31.1105442
2006-05-08 00:00:00+00:00,291.2922974,280.0428467,77.07965088,35.43326187
2006-05-09 00:00:00+00:00,289.8673401,279.0196838,79.92263031,36.40755081
2006-05-10 00:00:00+00:00,288.749939,279.2581482,71.79868317,36.14523697
2006-05-11 00:00:00+00:00,293.7440796,279.1814575,66.11016083,25.68639565
