time,tasmax_day_CanESM2_rcp45,tasmin_day_CanESM2_rcp45,relhumid-max_day_CanESM2_rcp45,relhumid-min_day_CanESM2_rcp45
2006-03-08 00:00:00+00:00,291.6095276,276.2095642,98.63847351,38.50783157
2006-03-09 00:00:00+00:00,289.0576782,277.0089417,85.6053009,37.35754013
2006-03-10 00:00:00+00:00,288.2116699,278.2731018,68.05032349,36.29201508
2006-03-11 00:00:00+00:00,288.4570007,277.6867981,71.61727142,34.47312546
2006-03-12 00:00:00+00:00,290.4749451,275.1204529,86.04232025,26.50726318
2006-03-13 00:00:00+00:00,291.0417175,275.1096191,88.33815765,29.08614349
2006-03-14 00:00:00+00:00,289.0827332,277.8616638,89.03970337,43.45324707
2006-03-15 00:00:00+00:00,288.8152466,277.989502,76.62776947,38.31489944
2006-03-16 00:00:00+00:00,292.5246887,278.905426,62.42792892,23.35356903
2006-03-17 00:00:00+00:00,295.8092957,279.8872681,73.23266602,23.51224136
2006-03-18 00:00:00+00:00,296.6971436,278.4352112,71.40068817,18.40111732
2006-03-19 00:00:00+00:00,296.7284851,277.9006348,88.74769592,25.57396126
2006-03-20 00:00:00+00:00,296.6114807,277.5123596,88.3213501,25.89572334
2006-03-21 00:00:00+00:00,296.1296997,276.4283142,91.32368469,26.44457245
2006-03-22 00:00:00+00:00,294.6637573,276.0135193,88.49908447,26.89103508
2006-03-23 00:00:00+00:00,294.2581482,276.2930603,95.38663483,33.41408157
2006-03-24 00:00:00+00:00,295.1998291,275.9338379,95.67179108,32.36410904
2006-03-25 00:00:00+00:00,294.8842163,274.6122131,96.29710388,29.61585617
2006-03-26 00:00:00+00:00,292.3499146,274.9362793,94.43224335,34.06335449
2006-03-27 00:00:00+00:00,291.8003235,276.7223511,89.76290131,34.85220718
2006-03-28 00:00:00+00:00,293.6499939,279.4301147,74.19919586,29.99431992
2006-03-29 00:00:00+00:00,297.1762695,280.0266418,88.06389618,28.33332443
2006-03-30 00:00:00+00:00,298.0306091,278.6762695,87.33017731,26.00294685
2006-03-31 00:00:00+00:00,296.8415527,278.2316589,86.37442017,27.52185059
2006-04-01 00:00:00+00:00,294.5846863,278.683197,86.49253845,33.13762665
2006-04-02 00:00:00+00:00,290.8510742,279.4682617,79.22267914,39.22699738
2006-04-03 00:00:00+00:00,292.6207581,280.151947,60.92324448,26.84044647
2006-04-04 00:00:00+00:00,294.9322205,280.1872253,71.0471344,26.91205978
2006-04-05 00:00:00+00:00,293.0871887,278.0834351,90.29072571,34.99036407
2006-04-06 00:00:00+00:00,289.0255127,281.7402039,82.39558411,50.90355301
2006-04-07 00:00:00+00:00,288.0816956,282.5375366,82.28173065,56.80335236
2006-04-08 00:00:00+00:00,289.6043396,283.1271057,79.94649506,52.23779297
2006-04-09 00:00:00+00:00,294.5079651,283.0875244,74.2821579,37.44220734
2006-04-10 00:00:00+00:00,296.8833313,283.0692749,76.76797485,30.25895691
2006-04-11 00:00:00+00:00,294.0127869,279.3791504,88.39675903,33.9973259
2006-04-12 00:00:00+00:00,293.3786011,278.2157898,69.37799835,25.58150291
2006-04-13 00:00:00+00:00,295.6673889,280.6019592,58.46945953,20.90167618
2006-04-14 00:00:00+00:00,297.1773682,282.7861328,52.36387253,20.49836349
2006-04-15 00:00:00+00:00,299.7430115,284.7138977,64.97742462,23.90967941
2006-04-16 00:00:00+00:00,302.7819824,285.7668762,65.26420593,20.09436607
2006-04-17 00:00:00+00:00,301.4572754,285.1707458,72.23223877,23.77685356
2006-04-18 00:00:00+00:00,297.2239685,281.2374268,90.17256165,31.21148109
2006-04-19 00:00:00+00:00,293.3377991,277.0543518,96.76573944,38.93925858
2006-04-20 00:00:00+00:00,293.2243958,280.0052795,94.11547089,42.17751694
2006-04-21 00:00:00+00:00,298.8233643,283.0129089,84.07110596,29.8148098
2006-04-22 00:00:00+00:00,300.1444397,283.0450439,80.88118744,24.82812881
2006-04-23 00:00:00+00:00,297.5907288,282.1494751,86.1919632,32.25601196
2006-04-24 00:00:00+00:00,291.4208069,279.4252014,69.63553619,32.63739777
2006-04-25 00:00:00+00:00,289.2394104,280.4819641,52.82752991,33.2328186
2006-04-26 00:00:00+00:00,289.6715393,281.723053,46.43635941,32.23641968
2006-04-27 00:00:00+00:00,290.5400085,282.4247131,47.65003967,32.56792068
2006-04-28 00:00:00+00:00,289.7741699,280.6402893,62.56392288,37.06740952
2006-04-29 00:00:00+00:00,291.7192993,279.6723022,89.89112091,41.36168289
2006-04-30 00:00:00+00:00,291.9826965,277.5706482,95.82581329,42.12981415
2006-05-01 00:00:00+00:00,288.1255493,276.3583984,95.69775391,47.36751938
2006-05-02 00:00:00+00:00,287.0441284,274.3869324,91.51187134,39.89614868
2006-05-03 00:00:00+00:00,287.6101379,277.5574951,90.04685974,47.84373856
2006-05-04 00:00:00+00:00,289.4606628,279.7240906,90.17623138,49.2131958
2006-05-05 00:00:00+00:00,292.0075073,279.692688,93.09130859,45.45532227
2006-05-06 00:00:00+00:00,290.9994812,279.0467529,95.87413025,48.05935287
2006-05-07 00:00:00+00:00,291.8240967,280.0168762,77.796875,35.69934082
2006-05-08 00:00:00+00:00,297.0510559,281.1710205,75.09429932,24.81685257
2006-05-09 00:00:00+00:00,299.7720947,284.1594543,70.11030579,24.72081566
2006-05-10 00:00:00+00:00,301.4376831,284.4448242,63.56689453,20.10177612
2006-05-11 00:00:00+00:00,301.47052,283.5953064,71.39189148,20.3464756
2006-05-12 00:00:00+00:00,298.3918152,281.0478821,83.98036957,25.76409912
2006-05-13 00:00:00+00:00,294.0197449,281.241272,87.22805023,38.72319794
2006-05-14 00:00:00+00:00,295.0867615,282.3017578,76.37491608,33.9123497
2006-05-15 00:00:00+00:00,297.0232239,282.3809204,75.53232574,29.29663849
2006-05-16 00:00:00+00:00,296.2789307,282.0526733,76.73631287,31.38288307
2006-05-17 00:00:00+00:00,294.4363098,281.2411804,77.74610901,32.49181366
2006-05-18 00:00:00+00:00,294.7801208,282.696991,81.27602386,37.7774086
2006-05-19 00:00:00+00:00,298.5187378,284.7008972,76.78123474,32.83860016
2006-05-20 00:00:00+00:00,301.7496338,288.5127563,67.46524811,28.74187469
2006-05-21 00:00:00+00:00,304.2848511,290.3265991,57.34405518,22.62353706
2006-05-22 00:00:00+00:00,302.5880737,286.695343,67.02867889,23.63189888
2006-05-23 00:00:00+00:00,299.2350464,282.6326904,85.90927887,28.96254921
2006-05-24 00:00:00+00:00,295.8678589,284.3701477,81.16716766,40.40254593
2006-05-25 00:00:00+00:00,296.0119324,284.7021179,77.55464935,37.54601669
2006-05-26 00:00:00+00:00,301.2379761,286.1530151,75.21590424,28.05002213
2006-05-27 00:00:00+00:00,304.2839661,288.0192566,74.19814301,24.59098053
2006-05-28 00:00:00+00:00,305.7605896,289.4654846,69.38034821,22.98191261
2006-05-29 00:00:00+00:00,305.574585,289.0673828,72.55923462,23.81985855
2006-05-30 00:00:00+00:00,304.0368347,287.2001953,80.98709106,27.53434563
2006-05-31 00:00:00+00:00,303.3996277,286.9707336,77.3348465,26.14930534
2006-06-01 00:00:00+00:00,303.5735474,287.9551086,70.06233215,24.62284088
2006-06-02 00:00:00+00:00,299.7966614,286.5013428,64.37282562,26.37577248
2006-06-03 00:00:00+00:00,294.6541443,282.4147949,76.4500885,33.62733841
2006-06-04 00:00:00+00:00,293.2883301,283.08078,45.29969025,25.00915527
2006-06-05 00:00:00+00:00,294.4675903,282.8345337,50.33559418,24.31421471
2006-06-06 00:00:00+00:00,294.2852783,284.1042175,58.77639389,30.61396027
2006-06-07 00:00:00+00:00,296.8861389,286.2740173,65.8169632,33.06129074
2006-06-08 00:00:00+00:00,300.9881592,286.4213562,70.84671021,27.45946884
2006-06-09 00:00:00+00:00,299.4553528,283.47052,81.62501526,29.91366386
2006-06-10 00:00:00+00:00,296.5022888,283.4009399,86.3547821,39.146698
2006-06-11 00:00:00+00:00,296.6990051,284.3145142,89.44076538,41.01190567
2006-06-12 00:00:00+00:00,295.041687,285.0826416,76.4063797,41.18819046
2006-06-13 00:00:00+00:00,292.6801453,282.7986145,71.18965912,37.59022522
2006-06-14 00:00:00+00:00,291.9255981,282.442627,56.20039368,31.69631767
2006-06-15 00:00:00+00:00,294.8782043,282.6894226,64.65338135,29.61418724
2006-06-16 00:00:00+00:00,298.3751221,284.5961914,64.96189117,26.53383446
2006-06-17 00:00:00+00:00,300.2008972,285.5905457,67.5194931,26.51707077
2006-06-18 00:00:00+00:00,298.6170044,283.7990417,79.86006927,30.69472885
2006-06-19 00:00:00+00:00,299.9868774,285.2583923,71.34079742,27.55278969
2006-06-20 00:00:00+00:00,302.7324829,286.4041748,64.79226685,23.16062546
2006-06-21 00:00:00+00:00,301.3951111,286.9714661,66.90995789,27.40596771
2006-06-22 00:00:00+00:00,299.5832214,286.1442566,66.08689117,29.50788879
2006-06-23 00:00:00+00:00,302.2145081,288.4455566,63.84576035,27.08406639
2006-06-24 00:00:00+00:00,304.8345642,288.3442383,65.56460571,22.99510765
2006-06-25 00:00:00+00:00,302.8218079,284.4756165,73.38195038,23.06809616
2006-06-26 00:00:00+00:00,301.489502,284.4633789,73.41049957,24.6700592
2006-06-27 00:00:00+00:00,301.7068787,287.1482849,64.00897217,26.47068787
2006-06-28 00:00:00+00:00,302.4190369,285.2612915,81.80402374,28.28850555
2006-06-29 00:00:00+00:00,303.8813782,286.187561,87.81983185,28.96697426
2006-06-30 00:00:00+00:00,305.9491577,288.4585876,81.29691315,26.89361
2006-07-01 00:00:00+00:00,307.9501953,291.6199646,68.60121155,24.13794899
2006-07-02 00:00:00+00:00,308.0428772,294.7290039,47.66606903,21.07150269
2006-07-03 00:00:00+00:00,306.4846191,292.6433411,52.29620743,21.65306282
2006-07-04 00:00:00+00:00,306.6644287,292.5898743,56.54562378,23.23748398
2006-07-05 00:00:00+00:00,306.5023499,291.8099976,56.61493301,22.22662926
2006-07-06 00:00:00+00:00,305.5755005,290.8432922,55.08256912,21.79890823
2006-07-07 00:00:00+00:00,304.463562,287.884613,63.18595505,22.60011101
2006-07-08 00:00:00+00:00,303.6178284,287.1412659,60.5365448,22.04055595
2006-07-09 00:00:00+00:00,302.1967468,287.1439514,55.90198898,22.60499382
2006-07-10 00:00:00+00:00,300.832428,285.4390869,61.47257996,23.30196953
2006-07-11 00:00:00+00:00,299.3166199,286.0810547,60.88675308,27.07073975
2006-07-12 00:00:00+00:00,299.1922302,286.903656,71.50634003,33.79905701
2006-07-13 00:00:00+00:00,301.5986328,288.7955322,78.63378143,36.66005707
2006-07-14 00:00:00+00:00,303.5365906,289.4690857,84.94126129,37.57310486
2006-07-15 00:00:00+00:00,304.7409058,291.0765076,84.39627838,37.06489563
2006-07-16 00:00:00+00:00,306.0318909,290.655426,84.70646667,32.20410919
2006-07-17 00:00:00+00:00,306.3788147,290.5491638,84.88452148,32.24091721
2006-07-18 00:00:00+00:00,307.1342773,293.9197083,76.03541565,35.04085159
2006-07-19 00:00:00+00:00,306.1545715,292.5997314,75.74208069,33.28048706
2006-07-20 00:00:00+00:00,305.9980469,290.3576355,80.02971649,30.63536072
2006-07-21 00:00:00+00:00,306.8203125,293.1882019,71.54027557,30.67744827
2006-07-22 00:00:00+00:00,307.0780334,294.092041,74.80587006,35.01659393
2006-07-23 00:00:00+00:00,307.191925,293.0419617,72.73171997,30.0400219
2006-07-24 00:00:00+00:00,307.5300903,292.6323242,70.19454956,27.06410789
2006-07-25 00:00:00+00:00,307.0475464,294.7516174,63.40770721,29.68210602
2006-07-26 00:00:00+00:00,306.702179,293.6270447,62.61716843,27.28157806
2006-07-27 00:00:00+00:00,304.5329285,292.0304565,49.41314316,23.14320183
2006-07-28 00:00:00+00:00,301.7711792,290.4446411,48.78964615,23.91231537
2006-07-29 00:00:00+00:00,300.7175598,287.8773193,48.76052856,22.01551628
2006-07-30 00:00:00+00:00,299.2373962,286.1420898,48.10155487,22.61208725
2006-07-31 00:00:00+00:00,298.3900146,286.0925598,49.59594345,23.69875908
2006-08-01 00:00:00+00:00,299.2541504,287.1487732,48.7683754,23.19755173
2006-08-02 00:00:00+00:00,301.23349,288.1121826,58.43053818,26.13552475
2006-08-03 00:00:00+00:00,301.4643555,288.4672241,63.81763458,28.18006134
2006-08-04 00:00:00+00:00,300.822998,288.997467,64.35629272,30.74169731
2006-08-05 00:00:00+00:00,304.7122498,289.9053345,65.02415466,25.34355545
2006-08-06 00:00:00+00:00,305.460022,290.822998,61.78216934,24.90196037
2006-08-07 00:00:00+00:00,305.1548157,288.8648682,78.73735809,27.75249672
2006-08-08 00:00:00+00:00,305.3840942,287.0862732,80.65125275,25.43576241
2006-08-09 00:00:00+00:00,303.9142456,286.3084412,71.10365295,23.92661095
2006-08-10 00:00:00+00:00,303.7272949,287.0985413,69.69300079,24.76633835
2006-08-11 00:00:00+00:00,303.8568115,288.218811,64.60813904,24.02886963
2006-08-12 00:00:00+00:00,305.2245789,287.3258667,67.25070953,22.10368156
2006-08-13 00:00:00+00:00,308.3490295,290.266449,64.78111267,20.70642662
2006-08-14 00:00:00+00:00,308.9326477,290.6600647,77.12097931,23.45384407
2006-08-15 00:00:00+00:00,308.045105,292.3411255,75.65156555,27.15128708
2006-08-16 00:00:00+00:00,307.2493591,292.7821045,68.01815796,26.83004189
2006-08-17 00:00:00+00:00,306.4111023,291.3161926,69.41049957,26.58870506
2006-08-18 00:00:00+00:00,306.22052,291.6838684,68.75915527,27.39531517
2006-08-19 00:00:00+00:00,306.179718,289.9434814,67.37554932,24.12948799
2006-08-20 00:00:00+00:00,305.8872681,289.3655701,74.04252625,26.16026878
2006-08-21 00:00:00+00:00,305.036377,288.3620605,74.32519531,25.65595436
2006-08-22 00:00:00+00:00,305.0981445,290.055542,68.34262848,26.24154663
2006-08-23 00:00:00+00:00,304.5627747,288.3336792,83.60778809,30.16644096
2006-08-24 00:00:00+00:00,305.8948669,290.4515991,74.68653107,28.84592438
2006-08-25 00:00:00+00:00,306.4199829,290.1677856,78.37758636,28.55769157
2006-08-26 00:00:00+00:00,305.3557739,290.5046997,69.16828918,27.30441666
2006-08-27 00:00:00+00:00,305.1264954,289.7390747,69.88716888,26.36332512
2006-08-28 00:00:00+00:00,306.3750305,288.5211792,68.22545624,21.12599182
2006-08-29 00:00:00+00:00,306.2087708,290.153717,66.63703918,23.63356209
2006-08-30 00:00:00+00:00,304.828186,288.646698,66.88076782,23.24394035
2006-08-31 00:00:00+00:00,304.2494812,287.76651,57.3610611,20.27269554
2006-09-01 00:00:00+00:00,304.2507935,288.0020142,56.67378235,20.75583076
2006-09-02 00:00:00+00:00,303.4671326,288.8450928,58.96362305,23.47502518
2006-09-03 00:00:00+00:00,304.1600342,289.3198547,49.10185623,19.69559479
2006-09-04 00:00:00+00:00,304.4795227,287.9122314,51.0682106,18.71730804
2006-09-05 00:00:00+00:00,303.978302,286.1372681,62.82008743,20.42457962
2006-09-06 00:00:00+00:00,304.219635,286.6465454,60.45690155,19.80724907
2006-09-07 00:00:00+00:00,303.3754578,288.375,56.37608719,21.56050491
2006-09-08 00:00:00+00:00,300.3025208,287.5031433,53.22860336,23.41646004
2006-09-09 00:00:00+00:00,294.6604919,285.975769,64.95005798,37.32642746
2006-09-10 00:00:00+00:00,292.5265503,284.5298157,63.73323059,39.11894226
2006-09-11 00:00:00+00:00,295.550415,284.8736877,59.38798904,28.69690514
2006-09-12 00:00:00+00:00,301.1824646,286.9949036,56.93695831,22.47659492
2006-09-13 00:00:00+00:00,303.8230286,288.0264587,50.22383499,18.33547211
2006-09-14 00:00:00+00:00,302.2316589,283.9706421,67.74604797,20.14551163
2006-09-15 00:00:00+00:00,299.8887024,285.0951538,66.32845306,26.2123394
2006-09-16 00:00:00+00:00,297.9242249,284.2534485,62.65147781,25.78743935
2006-09-17 00:00:00+00:00,297.0874634,284.0252686,65.18011475,27.69663811
2006-09-18 00:00:00+00:00,298.6675415,283.8971558,62.51595688,22.98226929
2006-09-19 00:00:00+00:00,300.7276001,287.2634888,57.50108719,23.74156761
2006-09-20 00:00:00+00:00,301.0141907,285.0011597,59.5218277,20.64981651
2006-09-21 00:00:00+00:00,298.5866699,282.2472839,73.24023438,25.35645103
2006-09-22 00:00:00+00:00,298.0379028,283.9805603,88.87137604,36.77241516
2006-09-23 00:00:00+00:00,299.9313049,286.5186462,68.27909851,27.25433731
2006-09-24 00:00:00+00:00,300.7429199,287.3789063,55.99591064,23.38237381
2006-09-25 00:00:00+00:00,302.5259705,288.2834167,59.21968842,23.03137779
2006-09-26 00:00:00+00:00,303.7567749,288.0214539,55.96070099,20.19970322
2006-09-27 00:00:00+00:00,303.9408264,288.6390686,62.83447266,22.91028023
2006-09-28 00:00:00+00:00,303.0474243,287.8289795,72.84461212,26.51654625
2006-09-29 00:00:00+00:00,300.945282,283.8485413,90.94824982,30.76422882
2006-09-30 00:00:00+00:00,299.1808472,282.6524658,93.82546997,35.95064926
2006-10-01 00:00:00+00:00,297.8190308,283.7999573,84.96556091,33.59730911
2006-10-02 00:00:00+00:00,297.0873413,284.3112183,77.61308289,34.38655472
2006-10-03 00:00:00+00:00,298.3223572,286.2330322,68.41282654,30.41062737
2006-10-04 00:00:00+00:00,300.0884705,288.274292,51.88827515,22.67450905
2006-10-05 00:00:00+00:00,296.1576233,285.5626831,81.36935425,40.67828751
2006-10-06 00:00:00+00:00,295.159668,286.3706665,88.46800232,53.45848465
2006-10-07 00:00:00+00:00,296.4539795,286.0528564,82.87636566,41.99180222
2006-10-08 00:00:00+00:00,299.154541,285.9107666,65.20265961,26.47687912
2006-10-09 00:00:00+00:00,299.7958374,284.9727783,75.67610931,26.74259377
2006-10-10 00:00:00+00:00,299.6499939,283.9228516,73.96704865,24.42920303
2006-10-11 00:00:00+00:00,299.4872437,282.3908997,68.35784912,21.663414
2006-10-12 00:00:00+00:00,298.1108093,281.3684387,84.44831085,26.02125931
2006-10-13 00:00:00+00:00,296.1484985,281.5474243,54.3326683,18.3307972
2006-10-14 00:00:00+00:00,292.7250977,282.8905945,31.95265007,16.07241631
2006-10-15 00:00:00+00:00,292.6509705,282.546814,28.59982109,13.91727829
2006-10-16 00:00:00+00:00,292.8597412,278.2637939,36.55229187,15.93278503
2006-10-17 00:00:00+00:00,291.5613708,278.5119019,58.21068192,24.51469231
2006-10-18 00:00:00+00:00,292.000946,284.0362549,65.02792358,41.8208847
2006-10-19 00:00:00+00:00,291.9555969,282.4031372,80.73735809,44.37818527
2006-10-20 00:00:00+00:00,292.3712158,281.8345642,80.56520844,42.18502045
2006-10-21 00:00:00+00:00,295.7258911,283.5579224,41.25846481,18.329216
2006-10-22 00:00:00+00:00,298.4216003,283.0834045,39.42064285,14.96904087
2006-10-23 00:00:00+00:00,301.2220154,284.2967224,41.49202728,13.9866848
2006-10-24 00:00:00+00:00,301.8039551,282.5734558,43.51396179,11.59473228
2006-10-25 00:00:00+00:00,301.6012268,283.6358032,41.61977386,14.16542435
2006-10-26 00:00:00+00:00,301.7738953,283.2705078,50.32744217,13.64160347
2006-10-27 00:00:00+00:00,301.2628479,282.2995911,65.76877594,17.13014221
2006-10-28 00:00:00+00:00,299.8464966,282.1820374,66.01925659,20.48369789
2006-10-29 00:00:00+00:00,298.4533691,282.5989685,84.65426636,29.23057556
2006-10-30 00:00:00+00:00,297.5605774,281.5406799,95.39790344,33.89076233
2006-10-31 00:00:00+00:00,295.0881042,281.7019958,91.17312622,37.96218491
2006-11-01 00:00:00+00:00,292.7952576,282.1854858,86.07285309,42.30092239
2006-11-02 00:00:00+00:00,293.2423096,281.175354,76.65085602,33.38818741
2006-11-03 00:00:00+00:00,297.3326111,281.8058777,81.86499023,25.88966942
2006-11-04 00:00:00+00:00,298.9151001,282.193573,79.89339447,23.93777084
2006-11-05 00:00:00+00:00,294.973938,279.1114197,89.86820221,29.14389038
2006-11-06 00:00:00+00:00,289.8625488,280.0457458,56.95499039,29.33164406
2006-11-07 00:00:00+00:00,290.0003357,279.8494263,53.27078247,27.19333649
2006-11-08 00:00:00+00:00,291.1353455,278.6989746,48.07070923,19.78086662
2006-11-09 00:00:00+00:00,291.5805054,276.4343262,54.48984909,18.00867462
2006-11-10 00:00:00+00:00,290.3734436,278.4619141,72.16483307,31.38881302
2006-11-11 00:00:00+00:00,292.7670288,279.6945801,52.99949265,20.52279663
2006-11-12 00:00:00+00:00,295.1316223,279.858429,60.88505554,19.64100838
2006-11-13 00:00:00+00:00,296.3988953,278.8547974,75.52160645,21.53659248
2006-11-14 00:00:00+00:00,297.8972778,280.1869507,67.72094727,17.24902344
2006-11-15 00:00:00+00:00,297.6810608,281.7451477,68.75334167,19.36820602
2006-11-16 00:00:00+00:00,299.0250549,283.4645386,72.93157959,21.77711296
2006-11-17 00:00:00+00:00,298.2261658,282.5308838,85.33095551,28.60860825
2006-11-18 00:00:00+00:00,296.9899292,282.6810608,83.48590088,29.75144577
2006-11-19 00:00:00+00:00,298.9020386,284.1813965,69.82978821,23.31703758
2006-11-20 00:00:00+00:00,298.0449829,281.5806885,83.1439209,26.15351868
2006-11-21 00:00:00+00:00,299.4535522,284.3876953,78.86470032,25.87626839
2006-11-22 00:00:00+00:00,298.1312561,282.4030762,76.58291626,23.21141815
2006-11-23 00:00:00+00:00,297.7952576,282.6659546,58.57091904,18.27869797
2006-11-24 00:00:00+00:00,297.2042542,280.9291077,41.5359993,10.85738659
2006-11-25 00:00:00+00:00,297.6956482,281.7944031,60.00971222,16.9618206
2006-11-26 00:00:00+00:00,293.3998108,273.4541931,84.54175568,17.98481178
2006-11-27 00:00:00+00:00,288.4902954,273.6138,68.65299225,21.04221916
2006-11-28 00:00:00+00:00,285.0811768,272.8379517,47.5151062,18.01612854
2006-11-29 00:00:00+00:00,286.0439453,273.489502,45.36597061,16.73264122
2006-11-30 00:00:00+00:00,285.6454163,276.1348267,40.11297607,19.18071365
2006-12-01 00:00:00+00:00,284.4214172,272.6854858,47.130867,17.84539986
2006-12-02 00:00:00+00:00,284.9880981,272.1269531,48.35108566,15.66890526
2006-12-03 00:00:00+00:00,289.2659607,273.25177,50.66766357,13.88711071
2006-12-04 00:00:00+00:00,290.7406006,273.1869507,66.19235992,16.14611244
