time,tasmax_day_CNRM-CM5_rcp45,tasmin_day_CNRM-CM5_rcp45,relhumid-max_day_CNRM-CM5_rcp45,relhumid-min_day_CNRM-CM5_rcp45
2006-03-08 00:00:00+00:00,295.9818115,279.5335693,79.42019653,27.17515564
2006-03-09 00:00:00+00:00,292.546051,278.1900635,89.49111176,34.31742477
2006-03-10 00:00:00+00:00,285.1988525,274.683197,93.84308624,44.26934433
2006-03-11 00:00:00+00:00,286.4622803,275.2173462,85.17275238,38.3594017
2006-03-12 00:00:00+00:00,288.3987122,276.8565979,79.43656921,33.73278809
2006-03-13 00:00:00+00:00,286.8912354,277.1247253,72.17779541,35.35948563
2006-03-14 00:00:00+00:00,288.9359131,276.2736816,66.7071991,27.39249039
2006-03-15 00:00:00+00:00,290.2940369,276.5683289,53.42025757,21.51530075
2006-03-16 00:00:00+00:00,291.6989136,277.8341064,40.51340103,16.53022003
2006-03-17 00:00:00+00:00,295.7148743,278.7917786,37.17468262,11.84289455
2006-03-18 00:00:00+00:00,299.4880981,279.0618591,45.36645508,12.38210773
2006-03-19 00:00:00+00:00,300.0647278,279.9516296,48.96513748,13.97081184
2006-03-20 00:00:00+00:00,301.2505493,281.7825012,44.05593109,13.17792606
2006-03-21 00:00:00+00:00,301.7223511,283.7858582,40.64818573,14.27828217
2006-03-22 00:00:00+00:00,297.5019836,285.7363892,37.43727493,19.304245
2006-03-23 00:00:00+00:00,294.1089478,281.7941589,58.21260834,26.95438766
2006-03-24 00:00:00+00:00,295.604187,278.4577026,55.4621048,18.62923431
2006-03-25 00:00:00+00:00,294.7064819,278.5727539,46.65513611,16.80622673
2006-03-26 00:00:00+00:00,293.0562134,278.340332,35.1413765,13.33878422
2006-03-27 00:00:00+00:00,294.3245239,280.2548218,48.30706406,20.40668297
2006-03-28 00:00:00+00:00,294.2207642,283.1898804,42.86130142,22.56877327
2006-03-29 00:00:00+00:00,295.1647034,280.3259888,63.24020386,25.02972794
2006-03-30 00:00:00+00:00,295.2750854,279.6825256,74.89851379,27.94495773
2006-03-31 00:00:00+00:00,291.0955811,281.6873474,76.78045654,39.28567123
2006-04-01 00:00:00+00:00,289.767395,281.0508728,87.21973419,44.97346497
2006-04-02 00:00:00+00:00,289.695282,280.3499146,89.12055969,44.60522842
2006-04-03 00:00:00+00:00,287.6611328,279.5869446,93.74699402,50.57097244
2006-04-04 00:00:00+00:00,291.7007141,278.5995483,94.6338501,38.20690918
2006-04-05 00:00:00+00:00,293.3187866,279.9379883,89.20355988,35.59995651
2006-04-06 00:00:00+00:00,293.9535828,279.7516174,90.73886871,34.55956268
2006-04-07 00:00:00+00:00,297.3053589,280.2345276,86.09497833,28.17781067
2006-04-08 00:00:00+00:00,297.6860046,280.6636963,83.74486542,27.80395889
2006-04-09 00:00:00+00:00,292.8963623,279.5989685,88.5016861,35.5044899
2006-04-10 00:00:00+00:00,290.9807434,278.9832458,84.30525208,36.38226318
2006-04-11 00:00:00+00:00,292.7135315,281.5926208,78.25506592,36.56138992
2006-04-12 00:00:00+00:00,296.1810608,280.5848694,80.45301056,29.01795578
2006-04-13 00:00:00+00:00,300.7742615,282.7002869,69.57421112,21.37686729
2006-04-14 00:00:00+00:00,299.8023682,284.2446289,62.08911133,23.80534172
2006-04-15 00:00:00+00:00,293.3063049,280.9920654,69.19020081,30.42841911
2006-04-16 00:00:00+00:00,292.5831299,278.4836121,68.57685089,27.21098518
2006-04-17 00:00:00+00:00,295.2687683,279.8263245,67.1966095,24.45550919
2006-04-18 00:00:00+00:00,294.2251282,281.2683411,70.65044403,29.91396141
2006-04-19 00:00:00+00:00,289.1368713,281.2295837,84.31880188,44.85547638
2006-04-20 00:00:00+00:00,290.367981,278.1581726,87.91630554,36.89450073
2006-04-21 00:00:00+00:00,293.2389832,278.7887573,80.36853027,29.82501602
2006-04-22 00:00:00+00:00,296.6385193,278.7504883,79.36261749,24.72677422
2006-04-23 00:00:00+00:00,300.2253113,280.4703369,68.36437225,20.61282349
2006-04-24 00:00:00+00:00,301.9999084,282.7146912,54.73844528,16.31142998
2006-04-25 00:00:00+00:00,301.0830078,287.1785583,37.36393738,17.74012566
2006-04-26 00:00:00+00:00,296.3263245,282.7904053,73.62497711,30.38693428
2006-04-27 00:00:00+00:00,289.6170044,281.8990784,90.50824738,48.28184128
2006-04-28 00:00:00+00:00,292.0772705,283.1105957,89.01782227,44.49370575
2006-04-29 00:00:00+00:00,294.0795593,283.1736755,82.65205383,38.27047348
2006-04-30 00:00:00+00:00,292.2712708,282.486908,84.96127319,41.46294785
2006-05-01 00:00:00+00:00,290.3298645,283.5683594,94.67698669,53.82565689
2006-05-02 00:00:00+00:00,291.5959473,282.0016785,92.12565613,45.41785431
2006-05-03 00:00:00+00:00,289.8526611,281.2488403,94.03809357,48.50693893
2006-05-04 00:00:00+00:00,293.1118469,280.7492065,90.43309784,37.9468689
2006-05-05 00:00:00+00:00,295.1235657,281.9527893,80.39112091,33.83037567
2006-05-06 00:00:00+00:00,295.9196472,281.1712341,84.48484802,33.17262268
2006-05-07 00:00:00+00:00,292.4495239,281.5529175,93.87448883,43.77560043
2006-05-08 00:00:00+00:00,294.4051208,282.8458862,94.73860931,43.58628082
2006-05-09 00:00:00+00:00,301.3526001,283.7568054,72.72454071,24.65507698
2006-05-10 00:00:00+00:00,305.3213501,286.2492981,65.52202606,19.93651772
2006-05-11 00:00:00+00:00,305.8829651,287.0611877,68.52101898,22.12891579
2006-05-12 00:00:00+00:00,302.5753174,286.3945923,74.27542877,28.41625786
2006-05-13 00:00:00+00:00,302.2734985,285.5098572,67.3864975,25.37568665
2006-05-14 00:00:00+00:00,303.1797485,284.6504211,72.63707733,24.31055641
2006-05-15 00:00:00+00:00,304.8199158,287.4970703,64.10654449,24.04432106
2006-05-16 00:00:00+00:00,302.2735596,287.9351196,70.35705566,29.31994629
2006-05-17 00:00:00+00:00,295.8261414,286.1000366,82.36260986,42.00362396
2006-05-18 00:00:00+00:00,291.7305298,285.8094788,88.91358185,53.32141495
2006-05-19 00:00:00+00:00,292.1908264,285.6847839,86.31230927,49.59500504
2006-05-20 00:00:00+00:00,294.3414307,284.5749512,88.15441132,43.14784622
2006-05-21 00:00:00+00:00,297.2839355,284.4385376,85.72198486,36.37525558
2006-05-22 00:00:00+00:00,299.7493591,286.1788025,83.32381439,34.56650543
2006-05-23 00:00:00+00:00,300.0737915,286.7484131,84.25326538,35.81193161
2006-05-24 00:00:00+00:00,299.5782776,287.4385071,79.72637177,35.88262939
2006-05-25 00:00:00+00:00,300.2682495,287.0361938,78.36608124,33.3690567
2006-05-26 00:00:00+00:00,299.3939819,287.1000366,82.4418869,35.68992996
2006-05-27 00:00:00+00:00,297.5774841,286.1226196,88.17886353,40.35547638
2006-05-28 00:00:00+00:00,299.2727356,286.2261047,80.71391296,34.10633087
2006-05-29 00:00:00+00:00,298.3235779,286.7333374,67.35437012,31.18718719
2006-05-30 00:00:00+00:00,298.4224854,284.4446716,68.3085556,27.85507011
2006-05-31 00:00:00+00:00,299.3615112,285.2193298,67.12683868,27.473526
2006-06-01 00:00:00+00:00,299.1984558,285.1151428,72.05369568,28.80619812
2006-06-02 00:00:00+00:00,299.3988342,284.4195557,77.24307251,29.29611397
2006-06-03 00:00:00+00:00,300.5757446,284.7377014,76.6684494,28.24425888
2006-06-04 00:00:00+00:00,300.6797485,286.5136414,72.81283569,29.63058472
2006-06-05 00:00:00+00:00,299.8823242,287.0058289,72.32241058,31.25044823
2006-06-06 00:00:00+00:00,300.2099304,285.6813965,73.56478882,29.64008141
2006-06-07 00:00:00+00:00,300.7740173,286.4353027,67.68537903,28.31109238
2006-06-08 00:00:00+00:00,302.5523987,286.9884338,64.2604599,25.4953022
2006-06-09 00:00:00+00:00,302.0293884,286.5293884,62.93678665,25.44091606
2006-06-10 00:00:00+00:00,301.0817566,285.5613403,67.99350739,26.12330627
2006-06-11 00:00:00+00:00,298.4497986,286.1557922,71.07274628,31.8423748
2006-06-12 00:00:00+00:00,296.4763794,285.3478088,74.60066223,34.48564148
2006-06-13 00:00:00+00:00,296.7816772,285.1105957,71.89660645,32.0003891
2006-06-14 00:00:00+00:00,298.6502991,284.3344116,73.62482452,29.22871017
2006-06-15 00:00:00+00:00,299.6968384,285.2886047,71.88362885,28.79124069
2006-06-16 00:00:00+00:00,300.1622314,286.5462952,67.97303009,28.6007843
2006-06-17 00:00:00+00:00,298.5116577,288.0601807,66.15418243,32.95994568
2006-06-18 00:00:00+00:00,297.9835205,286.7815247,70.58872986,32.90634537
2006-06-19 00:00:00+00:00,299.4448242,285.7962341,72.12814331,29.5810051
2006-06-20 00:00:00+00:00,299.0495911,286.0264893,69.84382629,30.70599937
2006-06-21 00:00:00+00:00,297.2955627,285.7932739,69.85512543,32.36135864
2006-06-22 00:00:00+00:00,296.8894653,285.5707092,77.02424622,35.86706161
2006-06-23 00:00:00+00:00,298.5809326,286.318573,85.11753845,36.47282028
2006-06-24 00:00:00+00:00,301.2778625,287.1765747,79.53226471,32.06734467
2006-06-25 00:00:00+00:00,304.778717,287.1542664,66.34524536,23.30629158
2006-06-26 00:00:00+00:00,309.9379578,290.7681885,43.55485153,14.27199745
2006-06-27 00:00:00+00:00,310.1175842,293.6948242,36.59378052,15.23700237
2006-06-28 00:00:00+00:00,306.4730835,292.1481934,52.90267563,23.82459641
2006-06-29 00:00:00+00:00,306.8754272,291.9103394,54.38311768,22.82061768
2006-06-30 00:00:00+00:00,305.6882629,293.1918945,49.35778809,23.27828979
2006-07-01 00:00:00+00:00,307.1496887,292.9580688,46.23547363,20.83524513
2006-07-02 00:00:00+00:00,306.4794922,293.6109009,44.60460281,21.57453537
2006-07-03 00:00:00+00:00,305.6369324,292.0280457,50.40383148,22.73311615
2006-07-04 00:00:00+00:00,304.180542,292.428833,48.30511856,23.79901505
2006-07-05 00:00:00+00:00,306.8638611,292.9343262,48.59267426,21.62494659
2006-07-06 00:00:00+00:00,307.5102539,293.1600037,53.74972153,23.16053009
2006-07-07 00:00:00+00:00,305.9596863,293.7603455,56.07006454,26.16218567
2006-07-08 00:00:00+00:00,304.2228394,292.8598938,62.30826187,29.43486786
2006-07-09 00:00:00+00:00,303.4369812,288.880188,65.07694244,26.6957016
2006-07-10 00:00:00+00:00,303.736145,288.6543274,73.42033386,28.53185272
2006-07-11 00:00:00+00:00,304.8210449,287.9971313,73.22632599,26.17228508
2006-07-12 00:00:00+00:00,304.7413635,288.0131226,65.50275421,24.07941628
2006-07-13 00:00:00+00:00,302.6364441,288.3900452,63.34703827,26.28307915
2006-07-14 00:00:00+00:00,300.7463074,287.2943115,72.47881317,29.6199379
2006-07-15 00:00:00+00:00,300.9941101,287.6620483,78.90485382,32.8437233
2006-07-16 00:00:00+00:00,303.2866211,288.3361816,78.38591003,30.81257629
2006-07-17 00:00:00+00:00,305.2603455,290.0058289,69.76790619,27.0912075
2006-07-18 00:00:00+00:00,305.7435608,290.4692078,65.86903381,25.62254906
2006-07-19 00:00:00+00:00,305.499115,289.7863464,66.69833374,25.62895393
2006-07-20 00:00:00+00:00,306.2251587,289.1892395,66.94023132,24.68434715
2006-07-21 00:00:00+00:00,306.4925842,289.4758301,66.03959656,23.9036808
2006-07-22 00:00:00+00:00,306.8880005,289.8893738,58.43409348,21.79858398
2006-07-23 00:00:00+00:00,306.9098511,290.3746643,55.37308884,21.2352581
2006-07-24 00:00:00+00:00,307.4814148,290.2434692,54.61551285,20.27128601
2006-07-25 00:00:00+00:00,307.7158508,291.6092834,48.88448715,19.45786858
2006-07-26 00:00:00+00:00,307.0726929,291.7165527,47.32180405,19.63083267
2006-07-27 00:00:00+00:00,307.4247742,291.5765076,48.93458176,19.96178627
2006-07-28 00:00:00+00:00,308.3475342,293.385437,47.99835205,20.83654022
2006-07-29 00:00:00+00:00,309.7709045,293.0799561,50.54934311,19.40868378
2006-07-30 00:00:00+00:00,307.291687,293.1133728,60.98370743,24.50740051
2006-07-31 00:00:00+00:00,305.2316284,293.4494324,67.17276001,29.39598274
2006-08-01 00:00:00+00:00,303.8865356,294.4211731,70.98665619,34.81644821
2006-08-02 00:00:00+00:00,302.4986572,291.1620789,75.66696167,33.80787277
2006-08-03 00:00:00+00:00,302.178833,289.7226563,78.22384644,32.95499802
2006-08-04 00:00:00+00:00,303.3459778,290.1463623,76.5760498,31.24939728
2006-08-05 00:00:00+00:00,305.208313,290.2226257,66.43613434,25.55590248
2006-08-06 00:00:00+00:00,306.2378235,289.461731,60.16207504,22.0602684
2006-08-07 00:00:00+00:00,306.8939514,290.4102173,54.9046402,20.64949036
2006-08-08 00:00:00+00:00,306.6880493,291.3388367,56.00698471,21.82920456
2006-08-09 00:00:00+00:00,306.4880676,292.7795715,59.79267883,24.53986168
2006-08-10 00:00:00+00:00,302.943573,292.1779785,80.23485565,36.10401535
2006-08-11 00:00:00+00:00,302.3429565,288.7173157,80.26368713,30.7789135
2006-08-12 00:00:00+00:00,304.2981873,289.7901917,66.89340973,25.64511299
2006-08-13 00:00:00+00:00,304.053833,290.1072388,67.74447632,26.70253754
2006-08-14 00:00:00+00:00,303.5438538,290.4382019,69.85969543,28.52898407
2006-08-15 00:00:00+00:00,302.5623169,289.3104858,70.97615051,28.88028717
2006-08-16 00:00:00+00:00,301.6474304,287.5978699,72.62310028,28.13178253
2006-08-17 00:00:00+00:00,301.2896118,287.7203064,72.82784271,28.89715958
2006-08-18 00:00:00+00:00,303.4085083,288.4124451,67.70690155,26.12151909
2006-08-19 00:00:00+00:00,304.341095,289.5985718,66.9993515,25.85947609
2006-08-20 00:00:00+00:00,304.756012,290.398407,65.42465973,25.59325409
