time,relhumid-max_day_CNRM-CM5_rcp45,relhumid-min_day_CNRM-CM5_rcp45,rsds_day_CNRM-CM5_rcp45,tasmax_day_CNRM-CM5_rcp45,tasmin_day_CNRM-CM5_rcp45
2006-02-27 00:00:00+00:00,87.05826569,27.90595818,281.8344421,294.8291931,277.0195007
2006-02-28 00:00:00+00:00,70.57581329,20.45582771,285.2817993,297.9200439,278.3486938
2006-03-01 00:00:00+00:00,78.86484528,22.11295891,278.6194458,297.8314209,277.8072815
2006-03-02 00:00:00+00:00,66.4543457,19.24601746,287.0328064,298.0818176,278.1520996
2006-03-03 00:00:00+00:00,74.33789825,20.38888359,286.0344238,296.9505005,276.6881409
2006-03-04 00:00:00+00:00,74.13831329,21.51224518,292.6841431,296.779541,276.9172668
2006-03-05 00:00:00+00:00,70.27108002,21.35693359,290.7449341,296.9308777,277.9624023
2006-03-06 00:00:00+00:00,70.77117157,22.04273224,299.8038025,297.9554138,278.7418213
2006-03-07 00:00:00+00:00,77.44035339,24.74599648,303.0187683,297.3112183,279.0922852
2006-03-08 00:00:00+00:00,81.57474518,25.96849632,308.1136169,297.1315613,279.1047974
2006-03-09 00:00:00+00:00,91.07814026,34.64863968,251.4563293,293.4960327,278.3798218
2006-03-10 00:00:00+00:00,93.30957794,46.83094788,257.079895,285.5078125,274.7106018
2006-03-11 00:00:00+00:00,83.93167877,39.03078079,288.3184814,287.2173462,275.606842
2006-03-12 00:00:00+00:00,82.66260529,34.98471832,316.4806213,289.070282,276.4479065
2006-03-13 00:00:00+00:00,74.39031982,37.19820404,284.8115234,287.5707703,277.2679443
2006-03-14 00:00:00+00:00,68.04017639,29.15556908,321.2541809,289.2134399,276.2584229
2006-03-15 00:00:00+00:00,56.64188004,22.04879951,325.4461365,291.0608215,276.0562439
2006-03-16 00:00:00+00:00,38.94362259,15.8469944,338.0758057,293.1896667,277.9860535
2006-03-17 00:00:00+00:00,34.08909607,10.85818291,343.5026245,296.3453674,278.1761475
2006-03-18 00:00:00+00:00,47.12841797,11.73687553,342.4733276,300.1677246,277.8183289
2006-03-19 00:00:00+00:00,55.81428528,13.79347134,345.6212158,301.1723328,278.4521179
2006-03-20 00:00:00+00:00,48.31802368,13.47428036,341.2037048,302.3340454,281.015686
2006-03-21 00:00:00+00:00,43.18341064,13.92727184,337.6544189,302.6813965,282.7438354
2006-03-22 00:00:00+00:00,38.88698196,20.66422653,251.6390076,297.2743225,284.760437
2006-03-23 00:00:00+00:00,61.67962265,28.35708427,345.902832,293.9310913,280.6590271
2006-03-24 00:00:00+00:00,58.1754303,17.66284752,363.3656311,296.5657043,277.6355896
2006-03-25 00:00:00+00:00,42.98608398,15.79741478,363.3077087,295.7704773,279.0610657
2006-03-26 00:00:00+00:00,33.99092865,13.48847866,371.0197449,294.3828125,278.8088379
2006-03-27 00:00:00+00:00,50.98612976,20.90886879,354.4446411,294.3219299,278.8409424
2006-03-28 00:00:00+00:00,40.5605545,22.64035034,288.4670715,294.3335266,283.2163696
2006-03-29 00:00:00+00:00,64.55380249,24.0732193,364.424408,295.5003052,279.3520508
2006-03-30 00:00:00+00:00,77.90145111,29.54260445,350.3878784,294.8812866,279.1602173
2006-03-31 00:00:00+00:00,75.47525024,41.31025314,198.8125153,291.3921814,282.1152954
2006-04-01 00:00:00+00:00,84.87133026,47.40529633,240.6542358,289.7928467,281.190033
2006-04-02 00:00:00+00:00,89.29230499,46.98422623,280.1918945,289.6157532,280.3513794
2006-04-03 00:00:00+00:00,94.7727356,52.0475769,203.4279327,287.9064331,279.5057373
2006-04-04 00:00:00+00:00,96.97816467,38.802845,329.555542,292.4359436,278.2298584
2006-04-05 00:00:00+00:00,93.87636566,37.6876564,326.8019104,293.1784058,279.2006531
2006-04-06 00:00:00+00:00,91.19644928,35.4562645,318.8735352,294.1386108,279.7059326
2006-04-07 00:00:00+00:00,89.06965637,27.80654335,355.1347351,297.5536194,279.7232971
2006-04-08 00:00:00+00:00,88.73543549,29.05994606,358.42099,297.5250549,279.8174744
2006-04-09 00:00:00+00:00,87.18109894,35.59759903,216.6794128,293.4091492,279.2786255
2006-04-10 00:00:00+00:00,79.4005127,35.95387268,364.4894104,291.4902344,279.2916565
2006-04-11 00:00:00+00:00,79.49541473,39.10857391,313.7849731,292.7883606,281.5670776
2006-04-12 00:00:00+00:00,85.5274353,30.41985703,361.0590515,296.1293335,280.1174927
2006-04-13 00:00:00+00:00,74.6485672,21.97968674,378.233429,301.3687744,282.0469055
2006-04-14 00:00:00+00:00,67.70378113,24.65360641,372.6867065,299.5336914,283.084259
2006-04-15 00:00:00+00:00,70.6915741,30.88283348,314.8435364,293.3415527,280.401886
2006-04-16 00:00:00+00:00,62.26026535,26.96375656,385.5191345,292.843811,279.1007996
2006-04-17 00:00:00+00:00,67.74163055,24.09559059,383.703186,295.7099915,279.2390137
2006-04-18 00:00:00+00:00,75.13115692,32.35374451,303.2749329,293.660675,280.536499
2006-04-19 00:00:00+00:00,82.23928833,43.94256592,215.4266205,289.8981018,280.9313965
2006-04-20 00:00:00+00:00,90.16004944,39.35224915,357.9835815,289.8979187,277.7851868
2006-04-21 00:00:00+00:00,83.87377167,28.96038437,406.9074402,293.7206421,277.9353638
2006-04-22 00:00:00+00:00,81.62162018,23.02737045,419.0968628,297.2732239,277.8088074
2006-04-23 00:00:00+00:00,77.8780899,20.11966133,422.635376,300.5062561,279.0780945
2006-04-24 00:00:00+00:00,62.94628906,15.47430229,438.2633362,302.7901917,281.2020264
2006-04-25 00:00:00+00:00,39.89135361,17.21185493,278.5190735,301.1607361,285.8425598
2006-04-26 00:00:00+00:00,75.98488617,29.4656086,391.2289734,297.5297852,282.8035889
2006-04-27 00:00:00+00:00,92.63960266,51.57377625,254.2723541,289.6899414,281.7651978
2006-04-28 00:00:00+00:00,92.47805023,49.26319504,330.4614563,291.6309814,282.5411377
